Parameter	lower    	value    	higher   
Period 1	168.56070733668645	169.266281314679	169.6713152552141
Amplitude 1	252.56439956031366	266.99615974823377	270.1172813186023
Phase 1	4.105353195054963	4.711874193577059	5.802550441468998
Ecc_sin 1	-0.0537918803709447	0.0237287412111379	0.0589869502793826
Ecc_cos 1	-0.0798738729846723	-0.0590435737823475	0.0423107382590733
Period 2	114.65392023604232	115.49098232844247	116.24985076573854
Amplitude 2	172.18634052631498	202.27401670923138	229.28660350064405
Phase 2	1.8340811183827064	2.1749018548045314	2.325909494266218
Ecc_sin 2	-0.0868141142529682	-0.0663872191008628	0.0348056208440704
Ecc_cos 2	0.2412988195559004	0.3399882047838401	0.350077140373725
Offset 1	-40.151154150256964	-31.79315865187664	-29.92638209554205
Jitter 1	11.877448100354265	17.5133751423502	24.184529661132313
Eccentricity 1	8.822727573e-07	0.0040491967644567	0.0144188823430474
Longitude 1	1.8111536832053776	2.7594621211378345	3.4968470361286883
Semi-Major Axis 1	0.194865015387693	0.1961768423098293	0.1985528291382614
Minimum Mass 1	0.7364584935710801	0.7798250538775943	0.7955458295803463
Eccentricity 2	0.0592910755090541	0.1199992422520844	0.175478129647564
Longitude 2	5.759286703828883	6.090348386718386	6.2831681592640924
Semi-Major Axis 2	0.1440845493907088	0.1471206149115089	0.153585165856754
Minimum Mass 2	0.4376091087099168	0.4834595868711362	0.5057033866272413
