,BJD,RV,eRV,Flag,eRV_og,residuals
0,0.0,25.901329486010724,27.575173462189156,1,27.48142463,25.901329486010724
11,29.530067360111786,-12.806515143665138,27.992482184183675,1,27.90013561,-12.806515143665138
1,49.944241519551724,41.72449688011977,24.104983714326078,1,23.99768214,41.72449688011977
12,53.604858750094934,-17.822519018648336,29.78722282664819,1,29.7004571,-17.822519018648336
2,54.937785289715976,-62.932109048900685,37.93202620279821,1,37.86392901,-62.932109048900685
3,69.92236800957471,66.69541471930539,36.781876177945065,1,36.71164561,66.69541471930539
13,76.60670122000323,-26.985624360890146,23.887143682320723,1,23.77885913,-26.985624360890146
4,81.69271639967337,53.599891292082845,35.29380975561143,1,35.22061208,53.599891292082845
5,87.90230625960976,-14.53139386703836,24.548879205436503,1,24.44352631,-14.53139386703836
14,89.56129704005019,52.90827873117129,25.153564694560597,1,25.05075498,52.90827873117129
6,89.81115163955837,-6.2394631287153,35.84206181602064,1,35.76998607,-6.2394631287153
15,95.56860473993169,60.577482280996065,39.110432324465734,1,39.04439044,60.577482280996065
7,97.68124486971647,-33.4902106354871,29.77266881503062,1,29.68586055,-33.4902106354871
16,103.51373666998865,12.87046465341453,23.271497435176816,1,23.16033465,12.87046465341453
8,108.7870960496366,-20.028029867037475,41.56681511574445,1,41.50468199,-20.028029867037475
17,112.40766209977613,-28.95729711333395,18.50057504678221,1,18.3605497,-28.95729711333395
18,117.38457043011607,-19.68497494653539,31.189742425118236,1,31.10688896,-19.68497494653539
19,125.41687897973628,29.09998563463617,53.92854647429658,1,53.88067031,29.09998563463617
9,139.66749294986948,14.210471725450262,32.32176727159939,1,32.24182296,14.210471725450262
10,157.75800319993868,-32.62396385597751,31.930437299743105,1,31.84951074,-32.62396385597751
