Parameter	MaxLogl  	MaxPost  	Mean     	Std      	00.27    	04.55    	31.73    	Median   	68.26    	95.44    	99.73    
Period 1   	169.81552379	169.72358268	168.98113671	1.12234085	166.81125544	167.15030022	168.46743099	168.99000235	169.55727741	170.84652788	171.153689
Amplitude 1	298.60913157	276.29662817	271.17858873	13.07457812	245.99364654	249.89576117	265.64096775	270.99720746	278.21489097	293.04348883	296.72461643
Phase 1    	4.71889806	4.5744042	4.34095339	1.03791004	2.0676679	2.99002017	4.39613128	4.56365603	4.91478052	5.98085521	6.28280089
Ecc_sin 1  	-0.15244964	-0.09663801	-0.0850568	0.11260485	-0.29659932	-0.26560499	-0.15446041	-0.08915498	-0.04095681	0.10250365	0.12969256
Ecc_cos 1  	-0.4929405	-0.1875199	-0.1937523	0.14698714	-0.44470149	-0.43059423	-0.33784177	-0.20705251	-0.18674621	0.04014763	0.08614506
Period 2   	72.80224012	69.99716841	70.21015494	0.80384558	68.68656571	68.87205693	69.71638548	70.15582296	70.43762895	71.48922603	71.81213769
Amplitude 2	46.54531019	83.95816227	74.63578859	14.7449675	45.32365307	50.33379121	69.70621839	75.20935913	83.78998387	98.7547	102.06065668
Phase 2    	5.32836262	1.00804957	3.32513437	1.76466815	0.39188126	0.78122005	3.16867599	3.42776024	5.18603366	6.2829404	6.2829404
Ecc_sin 2  	0.13035881	-0.04027189	0.01592414	0.11466126	-0.20542982	-0.17626286	-0.04134033	0.0147736	0.06805576	0.20334019	0.24040892
Ecc_cos 2  	0.03097739	0.00803783	-0.00443411	0.11745763	-0.23804237	-0.1993122	-0.06096769	-0.00348166	0.05219195	0.18752951	0.22015638
Offset 1   	-72.25615586	-72.60616841	-72.67136446	9.51621676	-91.40200331	-88.18351292	-76.77912415	-72.55188103	-67.76245731	-56.70029765	-54.23525191
Jitter 1   	22.51602265	19.00463657	21.60589236	5.61260459	10.42560172	12.82546923	20.17164249	21.94497897	25.28331842	30.89000236	32.26453423
Eccentricity 1	0.26623123	0.04450262	0.07905968	0.05964725	9.63e-06	1.18e-05	9.63e-06	0.06876055	0.04464851	0.1648868	0.19005683
Longitude 1	3.44152835	3.61744314	3.5344164	0.90919837	1.79678914	2.14488058	3.25207744	3.53360147	3.76774472	5.14940512	5.98553505
Semi-Major Axis 1	0.19759451	0.19575507	0.19670226	0.00392738	0.18906798	0.19025263	0.19482952	0.1966673	0.19850778	0.20317692	0.20444468
Minimum Mass 1	0.85012395	0.80057062	0.79395943	0.04874863	0.69997359	0.71309124	0.76706238	0.79276594	0.81306517	0.87321729	0.89002034
Eccentricity 2	0.01795302	0.00168643	0.02721674	0.02524958	3.2e-07	3.2e-07	2.91e-06	0.01968785	0.01282816	0.0619428	0.07851382
Longitude 2	1.33749181	4.9093895	2.99449121	1.79838391	0.3004263	0.00036005	0.7976192	2.85172771	2.81047147	5.63466534	6.27466242
Semi-Major Axis 2	0.11500154	0.11253541	0.10952381	0.00229092	0.10507813	0.10571877	0.10840671	0.10949366	0.11054564	0.11324745	0.11404854
Minimum Mass 2	0.10860235	0.19513309	0.16372146	0.03284086	0.09893868	0.10881701	0.15240404	0.16468186	0.18377376	0.21689779	0.22608995
