Parameter	MaxLogl  	MaxPost  	Mean     	Std      	00.27    	04.55    	31.73    	Median   	68.26    	95.44    	99.73    
Period 1   	170.48682039	169.84620049	169.59848914	1.10658838	167.464123	167.77189357	169.13077291	169.61876886	170.22233964	171.42668443	171.71186275
Amplitude 1	302.16949411	283.83469504	280.15197878	15.82730871	250.36018701	253.81451184	270.02177728	279.21682599	285.02672554	305.53272182	311.25803793
Phase 1    	4.64060064	4.58941949	4.54735346	0.15577518	4.23792324	4.29060021	4.50107606	4.55659515	4.65168652	4.80109455	4.83567811
Ecc_sin 1  	-0.20574446	-0.20634072	-0.21213063	0.06854343	-0.34223145	-0.32543701	-0.24740771	-0.21250453	-0.17961668	-0.09915397	-0.07919397
Ecc_cos 1  	-0.56706871	-0.49050436	-0.46723198	0.05965967	-0.58077038	-0.56577721	-0.50160126	-0.4692455	-0.44425418	-0.36860517	-0.3499729
Offset 1   	-60.8866377	-61.51012745	-60.99397602	8.66227804	-77.54953825	-75.35039262	-65.29725652	-60.98457627	-56.76693263	-46.72813911	-44.21094827
Jitter 1   	34.91219727	24.25829859	26.44274441	4.40790656	17.88438771	19.29169455	24.58899773	26.53662502	28.91265873	33.82650429	34.87711076
Eccentricity 1	0.36389771	0.28317102	0.2715626	0.04755169	0.18062148	0.19235409	0.246016	0.27071789	0.29233902	0.34926784	0.36409955
Longitude 1	3.48964336	3.53979047	3.57100498	0.15283311	3.28624092	3.31904318	3.47254183	3.56383795	3.62094245	3.82125732	3.87343841
Semi-Major Axis 1	0.19560227	0.1911688	0.19718852	0.00393228	0.18953823	0.19070744	0.19527018	0.19714803	0.19894881	0.20363463	0.20495873
Minimum Mass 1	0.81139567	0.75242711	0.79306184	0.05130863	0.69434866	0.70830852	0.76282022	0.79126028	0.81146589	0.87653583	0.89365889
