Parameter	lower    	value    	higher   
Period 1	169.1307729098347	169.84620049440625	170.22233964090267
Amplitude 1	270.02177727962015	283.8346950423579	285.02672554198506
Phase 1	4.501076062569278	4.589419489218585	4.651686520679442
Ecc_sin 1	-0.2474077130000276	-0.2063407185280477	-0.1796166754872164
Ecc_cos 1	-0.5016012632197772	-0.4905043640819985	-0.4442541823565409
Offset 1	-65.29725652177864	-61.51012745235261	-56.76693262743641
Jitter 1	19.850392029199217	24.258298592459365	28.912658730683013
Eccentricity 1	0.246016000368751	0.2831710233061568	0.2923390165343812
Longitude 1	3.4725418323763457	3.5397904720641735	3.620942454289602
Semi-Major Axis 1	0.1872365238457149	0.191168801804782	0.1989488138811946
Minimum Mass 1	0.7011184794634395	0.7524271059650155	0.8114658917445235
