,BJD,RV,eRV,Flag,eRV_og,residuals
0,0.0,19.04594501704593,31.55102855066516,1,27.48142463,19.04594501704593
11,31.77481346252813,-2.624121700040348,31.91639500267703,1,27.90013561,-2.624121700040348
1,49.944241519551724,-1.9750988734677435,28.567944465834294,1,23.99768214,-1.9750988734677435
2,54.937785289715976,-35.6683301388469,40.9135163849899,1,37.86392901,-35.6683301388469
12,55.84960485251128,-17.12489303382324,33.50157988602116,1,29.7004571,-17.12489303382324
3,69.92236800957471,54.84906046031614,39.84951224676093,1,36.71164561,54.84906046031614
13,78.85144732241957,-9.960330193836871,28.384376766716258,1,23.77885913,-9.960330193836871
4,81.69271639967337,-43.623266184488855,38.48025751213678,1,35.22061208,-43.623266184488855
5,87.90230625960976,16.860154647961167,28.943473899623378,1,24.44352631,16.860154647961167
6,89.81115163955837,-17.253285803273542,38.98372232558753,1,35.76998607,-17.253285803273542
14,91.80604314246654,28.778055582913566,29.458089347045444,1,25.05075498,28.778055582913566
7,97.68124486971647,-9.356949380936982,33.48864015609717,1,29.68586055,-9.356949380936982
15,97.81335084234803,-30.768660923503603,42.00836973439556,1,39.04439044,-30.768660923503603
16,105.75848277240499,34.56612900531886,27.86825800100372,1,23.16033465,34.56612900531886
8,108.7870960496366,-20.43438936040326,44.304371454762205,1,41.50468199,-20.43438936040326
17,114.65240820219248,-71.9029621053465,24.028077080713047,1,18.3605497,-71.9029621053465
18,119.62931653253241,77.2597555436262,34.75452839099226,1,31.10688896,77.2597555436262
19,127.66162508215263,70.85459305688676,56.06572336076146,1,53.88067031,70.85459305688676
9,139.66749294986948,2.15601606189081,35.77392696775824,1,32.24182296,2.15601606189081
10,157.75800319993868,-45.178964553466386,35.42075715294484,1,31.84951074,-45.178964553466386
