,BJD,RV,eRV,eRV_og,residuals
0,0.0,0.0,1.0,1.0,0.0
1,0.09317396426477265,0.0,1.0,1.0,0.0
2,0.1863479285295453,0.0,1.0,1.0,0.0
3,0.27952189279431794,0.0,1.0,1.0,0.0
4,0.3726958570590906,0.0,1.0,1.0,0.0
5,0.46586982132386323,0.0,1.0,1.0,0.0
6,0.5590437855886359,0.0,1.0,1.0,0.0
7,0.6522177498534085,0.0,1.0,1.0,0.0
8,0.7453917141181812,0.0,1.0,1.0,0.0
9,0.8385656783829538,0.0,1.0,1.0,0.0
10,0.9317396426477265,0.0,1.0,1.0,0.0
11,1.024913606912499,0.0,1.0,1.0,0.0
12,1.1180875711772718,0.0,1.0,1.0,0.0
13,1.2112615354420444,0.0,1.0,1.0,0.0
14,1.304435499706817,0.0,1.0,1.0,0.0
15,1.3976094639715897,0.0,1.0,1.0,0.0
16,1.4907834282363623,0.0,1.0,1.0,0.0
17,1.583957392501135,0.0,1.0,1.0,0.0
18,1.6771313567659076,0.0,1.0,1.0,0.0
19,1.7703053210306803,0.0,1.0,1.0,0.0
20,1.863479285295453,0.0,1.0,1.0,0.0
21,1.9566532495602256,0.0,1.0,1.0,0.0
22,2.049827213824998,0.0,1.0,1.0,0.0
23,2.143001178089771,0.0,1.0,1.0,0.0
24,2.2361751423545435,0.0,1.0,1.0,0.0
25,2.329349106619316,0.0,1.0,1.0,0.0
26,2.422523070884089,0.0,1.0,1.0,0.0
27,2.5156970351488614,0.0,1.0,1.0,0.0
28,2.608870999413634,0.0,1.0,1.0,0.0
29,2.7020449636784067,0.0,1.0,1.0,0.0
30,2.7952189279431794,0.0,1.0,1.0,0.0
31,2.888392892207952,0.0,1.0,1.0,0.0
32,2.9815668564727247,0.0,1.0,1.0,0.0
33,3.0747408207374973,0.0,1.0,1.0,0.0
34,3.16791478500227,0.0,1.0,1.0,0.0
35,3.2610887492670426,0.0,1.0,1.0,0.0
36,3.3542627135318153,0.0,1.0,1.0,0.0
37,3.447436677796588,0.0,1.0,1.0,0.0
38,3.5406106420613606,0.0,1.0,1.0,0.0
39,3.633784606326133,0.0,1.0,1.0,0.0
40,3.726958570590906,0.0,1.0,1.0,0.0
41,3.8201325348556785,0.0,1.0,1.0,0.0
42,3.913306499120451,0.0,1.0,1.0,0.0
43,4.006480463385223,0.0,1.0,1.0,0.0
44,4.099654427649996,0.0,1.0,1.0,0.0
45,4.1928283919147695,0.0,1.0,1.0,0.0
46,4.286002356179542,0.0,1.0,1.0,0.0
47,4.379176320444314,0.0,1.0,1.0,0.0
48,4.472350284709087,0.0,1.0,1.0,0.0
49,4.56552424897386,0.0,1.0,1.0,0.0
50,4.658698213238632,0.0,1.0,1.0,0.0
51,4.7518721775034045,0.0,1.0,1.0,0.0
52,4.845046141768178,0.0,1.0,1.0,0.0
53,4.938220106032951,0.0,1.0,1.0,0.0
54,5.031394070297723,0.0,1.0,1.0,0.0
55,5.124568034562495,0.0,1.0,1.0,0.0
56,5.217741998827268,0.0,1.0,1.0,0.0
57,5.310915963092041,0.0,1.0,1.0,0.0
58,5.4040899273568135,0.0,1.0,1.0,0.0
59,5.497263891621586,0.0,1.0,1.0,0.0
60,5.590437855886359,0.0,1.0,1.0,0.0
61,5.683611820151132,0.0,1.0,1.0,0.0
62,5.776785784415904,0.0,1.0,1.0,0.0
63,5.869959748680676,0.0,1.0,1.0,0.0
64,5.963133712945449,0.0,1.0,1.0,0.0
65,6.0563076772102225,0.0,1.0,1.0,0.0
66,6.149481641474995,0.0,1.0,1.0,0.0
67,6.242655605739767,0.0,1.0,1.0,0.0
68,6.33582957000454,0.0,1.0,1.0,0.0
69,6.429003534269313,0.0,1.0,1.0,0.0
70,6.522177498534085,0.0,1.0,1.0,0.0
71,6.615351462798857,0.0,1.0,1.0,0.0
72,6.7085254270636305,0.0,1.0,1.0,0.0
73,6.801699391328404,0.0,1.0,1.0,0.0
74,6.894873355593176,0.0,1.0,1.0,0.0
75,6.988047319857948,0.0,1.0,1.0,0.0
76,7.081221284122721,0.0,1.0,1.0,0.0
77,7.174395248387494,0.0,1.0,1.0,0.0
78,7.267569212652266,0.0,1.0,1.0,0.0
79,7.360743176917039,0.0,1.0,1.0,0.0
80,7.453917141181812,0.0,1.0,1.0,0.0
