BJD RV e_RV BERV rv1 e_rv1 rv2 e_rv2 rv3 e_rv3 rv4 e_rv4 rv5 e_rv5 rv6 e_rv6 rv7 e_rv7 rv8 e_rv8 rv10 e_rv10 rv11 e_rv11 rv12 e_rv12 rv13 e_rv13 rv14 e_rv14 rv15 e_rv15 rv16 e_rv16 rv17 e_rv17 filename
2460683.6329224585 -9.975304337817342 86.36075771537968 -3.698892350782152 36.228072694441714 inf -30.371850432323743 inf 265.60303689427536 188.08727646346702 -1681.8174746420405 inf 15.463968198340014 inf -1.9333544790518138 165.33454029224427 -28.28556002727821 191.5465713964066 -68.95942330721175 160.14034832664186 -28.741289298315355 146.36884650257855 -470.42694677109444 170.49843731424647 436.6933599252367 203.69577480973874 4075.002945708947 inf -1024.8182131215224 inf -46.751818707122126 inf 25.990847751923734 112.35677212786467 -219.71840972884033 103.35937267169295 0_A.fits
2460683.6329224585 263.6684914737895 275.45301417056345 -3.698892350782152 56.29045706667657 inf -61.16099365408818 196.10359229283674 -102.02515415313403 224.89373363934953 -3216.0861946842815 inf -240.27262898864444 190.95357429449777 -84.66679585919339 148.13051039569618 254.02820008556347 145.8448894232389 -1.922976304029423 112.11989854160034 245.36676153330097 139.157175295224 -114.80994647627682 134.8708931468906 786.983333900471 168.88521414400137 3630.5413283110965 172.7543498217613 -807.0570117848847 109.48720326857912 124.57162794174143 98.14407710024562 250.57191050550065 88.04895496026856 -188.78877442436936 81.26261519896565 0_B.fits
2460328.5467368485 238.90836325704797 323.13383827253864 -6.180980973809985 -43.415106682898234 inf 166.27199565641973 153.8698585388465 -155.45069133731147 215.73605949842337 -3281.7524997467203 inf -50.91875486828858 184.81875371155317 88.23667698695438 148.18487981579455 -154.00647334165717 198.0728631114263 -86.10128573222623 203.6791951065628 -107.14600914776685 171.52609843946442 -233.1484315095677 161.82915853773622 398.5472729889644 221.18974106057033 3947.3628175070485 206.78916814332678 -1037.2080350862518 124.71241069756964 141.2037600221197 109.60065290887374 188.16588020318724 109.29734671150341 -8.754584435835621 inf 10_A.fits
2460328.5467368485 219.13303826247696 293.4210516332092 -6.180980973809985 -29.37649162732355 inf 220.08006104248585 191.7961407434666 -199.9790287315555 315.46145396030425 -3577.417281306196 inf 89.65482996759475 248.43658265381993 -276.53551412069356 145.50329347240407 -11.609046964643476 157.77083438659545 -144.80423731751344 138.1077120928078 33.54478485467296 139.95822824088202 -179.85294715801743 156.0982488643888 534.5961325440792 182.16965914251597 3883.4884680772716 150.08670051726287 -844.2474341811361 117.41198260768671 137.1293423694552 95.67450882281955 -99.27809604149053 97.74714052702016 -74.32477866583172 94.57545350701811 10_B.fits
2460624.830119106 -261.9617692424805 330.5636107946201 10.813012992598876 -214.34812151750904 inf -1245.6144033256385 347.25199295929554 -374.0774602001856 239.97284937349406 12390.904419863631 inf -504.5803701456457 152.13143153113603 -311.49132176701653 113.49269100627757 -555.3045595836555 139.1638408134804 -486.29371089074186 109.32920675972034 -355.1416608507342 105.89627407383023 -1083.8396547754962 128.83443451767772 -276.0319104394284 168.81575058645845 3823.5866555072394 240.9410184231313 -1391.1468634238302 139.06746740989587 -174.39802163328156 101.33213784207976 -246.0574161138706 85.14278673955384 -487.0740717524409 77.94752569684394 11_A.fits
2460624.830119106 -226.96347223777602 305.3113247966521 10.813012992598876 -259.98002545599894 inf -492.8099101381083 347.7334157221902 -516.4803107834273 216.32923187821336 11247.109122491682 inf -91.41501374360533 178.1042364185294 -356.47901966713596 136.28752063735394 -779.2174664563092 146.2842374472412 -713.88885622612 114.93930498662158 -401.65314526676286 122.09418545844613 -676.460513228935 152.79196889497754 -308.46029720729587 183.3786157159003 3545.113035517716 142.45010169112254 -1486.1387751519267 149.2184534680801 11.014809479775845 113.06241639852436 -357.3170589623885 88.0876405145672 -553.2960894943411 79.94229865659305 11_B.fits
2460688.609830795 305.37194639342846 338.00692021187285 -4.965490321320619 -80.80774093309458 inf 343.43527281274567 325.32517950331453 -439.8346250351641 184.41029909744205 -2114.2135303685914 inf 36.972242029876334 178.05363601707793 -134.74415815318164 125.80039792003187 2.4069871772044014 149.1022742175032 196.21015073295396 125.72527420036187 349.0009691742038 120.06518245778202 -200.06452015047003 116.10664361359014 286.0872603926606 162.97675206812858 4184.363411533411 254.78497322312177 -934.7037170195636 159.4342328696566 139.5987430199579 130.67165620401494 141.10728659993563 92.87144302540165 -147.68454366192358 inf 12_A.fits
2460688.609830795 550.5013312672024 429.3457457211574 -4.965490321320619 328.432976710658 inf 196.12739168811842 inf -19.49290769210687 169.89012004410196 -5143.604469486767 inf 62.18501531916466 inf -140.3457260489101 229.24118298310853 180.24156377007708 200.30612227997165 339.09272266268124 168.54458582138105 103.22753070890217 155.95371555910603 -488.3280476042847 inf 299.3702929135443 181.5478102132749 3962.8753116089556 432.796670919737 -873.8247577653782 inf 139.5987430199579 130.67165620401494 101.6627015914693 inf 89.94445046172129 126.38829434244303 12_B.fits
2460666.7938651023 403.2637204068048 293.90707272754645 0.6011930237039446 415.5318693821777 inf 574.0402388379787 177.18882325214952 37.49406977152189 232.73267608318483 2113.1106177719184 inf 437.3816799942012 200.19936031650448 331.9612196088939 134.0540588485996 -89.70852017066953 152.34606021344473 175.27190975622807 138.64664889748084 219.60338173139283 130.86132775049535 -312.07814128516503 inf 711.6067124807151 162.7514969604818 3706.123013865225 273.1915820556014 -760.5690142859074 140.6734659255358 37.52201812025375 100.89787336706395 70.4641110382994 96.87771735410128 -208.76245545966992 92.01139148412683 13_A.fits
2460666.7938651023 359.458416028843 352.51233377242886 0.6011930237039446 -142.49263016102043 inf 219.09661747684905 246.35853024673025 0.3829459665497456 inf 2267.5273745708746 inf 482.54207447546395 187.36538652156977 18.485635327621193 130.76637244856502 50.137064452643166 150.78914383643863 -354.3848002360653 125.98894980028675 313.97460179343466 110.36639291324344 0.4054494865570746 inf 116.2857590649143 153.70968207477006 4122.847252711184 227.85609069405223 -642.0963281839362 138.24240442614186 99.02438147394997 128.10263069266966 -2.2646629548500075 78.56725300236523 -110.14660305509346 81.70845619466058 13_B.fits
2460339.6525880336 513.9445665736021 770.8789733857469 -9.051400976124304 -78.05243646806487 inf -775.0651082249739 658.741010751334 -6.27596643079132 inf -4586.170058632638 inf 369.98850245593337 inf 245.64267944802643 349.97755672185497 -249.66332356811398 363.71231283332423 -243.80575957346872 inf 39.404181479692184 inf -95.7074188624559 323.9635681404671 112.311483365127 inf 4307.878270261807 550.1233644171601 -794.909969651683 inf -107.25276549296021 inf -349.4176996126778 287.20218282717764 -338.19333992983155 inf 14_A.fits
2460339.6525880336 51.072211915859526 468.9595089280863 -9.051400976124304 -9.9381454522006 inf -263.55639599322785 inf -2064.0787629958463 1248.7165973705553 -6285.076058074948 inf -53.04400327459076 326.96648390284315 146.33831375727004 275.8512356366288 132.36995252924453 209.32591009604522 -107.03912135814903 244.66622830820307 146.35346569589413 196.90495850332468 -316.25706168029205 inf 61.961923325601134 216.412793331332 3232.1825178846607 264.16491505640704 -1035.3943783213488 303.2731776360326 -51.2461995996869 inf -84.40410042058012 inf -152.87024721271823 inf 14_B.fits
2460280.809733499 -260.1271617342917 340.57462987196544 6.088846659678386 -120.64598637068707 inf -919.3873436281497 375.9685634585418 -652.0059309423146 192.92416101480666 7199.521999691125 inf -556.8921122671063 163.28724028148844 -480.052989681371 115.65488448390785 -764.8250381183839 130.40484188161383 -490.511154297964 114.74508749413927 -434.6917070907036 109.37901685994768 -1020.1657483486748 130.1395741395165 14.801059190128761 163.57534000479185 3711.4134602726945 203.8686724979232 -1001.1006726732037 177.42441238383924 -51.2461995996869 inf -293.1686220193255 91.13451575969401 -495.06630294141684 80.56866257373214 15_A.fits
2460280.809733499 -183.4360915845201 322.359810151293 6.088846659678386 -227.68651098837069 inf -1139.9423807629248 495.87723996512045 160.93773925031715 288.9021686433286 5734.787779314478 inf -357.8465210317325 152.67188130503177 -477.5432795907553 152.5071107125762 -550.1549773416191 118.89799760024547 -551.804981657592 97.80436691914319 -439.0164097804573 95.51074897874626 -714.7757424782816 123.25080313802276 -61.90272302444169 151.98494561373366 3499.0936997672875 235.02555855192747 -1073.3318748144743 171.88722976354154 -51.2461995996869 inf -224.28791884185432 87.21146865524621 -454.0938202922336 77.56371451672098 15_B.fits
2460660.7865573955 327.36353700689125 287.0785669197612 2.2567030282860325 57.62327401404999 inf 101.71443503406964 217.91903217932293 260.09870604461815 167.560391615335 5094.390135234899 inf 274.35436031691637 160.98563351092116 -81.98979438575994 116.37173221410274 205.30607229136007 131.92899214168196 -22.186147281418766 110.27198428051378 126.37643297208734 111.77157869598804 -270.4974236713271 127.42815219676815 398.91574848307573 154.5785581987631 3939.8679531788016 174.3316428092528 -615.9983544878982 98.07174208723126 261.37436928463075 90.23213725880574 200.93014547055097 85.18277121244995 -195.17698515323025 75.72937959495967 16_A.fits
2460660.7865573955 343.58903563565366 292.487209228796 2.2567030282860325 163.47555237183587 inf 55.65534175501362 243.74123120306427 130.89196189259746 198.54712451868016 4011.403792696357 inf 151.09153770687303 172.89331100113367 23.254954372947715 142.54661584041082 239.04755951237874 141.84768953026915 -9.541419123519042 117.9470479762083 240.22746096846868 116.53329882219944 -303.98346803192146 137.65199244774664 846.0038720831445 183.2132022572918 3933.8129810922374 172.61982056501952 -794.7119399604452 119.4113984204002 350.77095677100624 94.5224968659731 85.87523561231251 89.5097809871768 -138.1485357519426 81.54781058824882 16_B.fits
2460696.6421393435 700.1173151476484 669.6356016352579 -7.07503016355122 -17.585677807379955 inf -466.22858026238555 204.7825036685671 -3.0651601941155335 239.89770723765443 -3920.8739560743247 inf -240.7589133852177 232.79834877948662 -75.22196192339223 inf -103.03953143325461 172.39409281120103 347.4594032309973 154.11168503051692 369.82014443401897 170.090765252404 -317.44491337581513 inf 372.24607146371426 187.18562414594186 5324.5050873274295 368.70114611212506 -1161.3322703739168 inf 181.0675492078355 inf -56.49208847134084 inf -398.7878935816549 inf 17_A.fits
2460696.6421393435 -142.81770009207662 176.33058403803537 -7.07503016355122 -22.741356508845975 inf 294.3948039972951 inf -1072.6416984726307 430.41183107472756 -5806.782342862325 inf -303.93800833473574 282.28109523517895 315.1151144744465 177.09717332495129 334.49328268795426 197.8016376808445 100.04183171551702 158.0371220998784 115.9419201611438 148.52168421221523 -558.9000120586198 143.5106412060195 865.8057477529653 197.75495190833695 3494.0985096988243 inf -1020.7712068021829 157.6884978827766 48.82547481446275 inf -212.41336524821156 130.2319227996795 -133.7283068884892 114.74695562589376 17_B.fits
2460647.8319615815 101.76344520604904 271.8551029901464 5.598187633025345 10.448978552131416 inf -344.891166776512 227.73959756967494 -37.05759240753652 143.45494500546152 7578.683226025847 inf 291.12750423882284 160.50235115162954 -105.25144669450562 110.31398269373099 -388.01943676292314 121.12956723541093 -249.92869720588712 101.16436382114183 -108.0942780574664 107.53779563985408 -415.786043887496 131.42879819871982 -15.867544922119198 146.64664914241996 3496.63251145526 183.93966943979936 -803.5231776056063 114.30498738996995 244.17989649855429 93.95728149826724 72.68188698577715 77.0277662452119 -211.51418197367533 70.10204275939192 19_A.fits
2460647.8319615815 169.4752690188713 309.85797861908674 5.598187633025345 87.31177558126261 inf -204.359293099081 285.58382789706224 385.2110814863727 177.36561256510913 7114.8515690281165 inf 18.702461949908415 173.5490255117588 -301.8499255107516 420.60461355460836 -114.40031348201634 135.10926963804536 -192.73449867833958 107.17757142768387 -88.05973317526669 110.84274833937792 -580.7440822660781 123.36000945312288 516.4538766436267 152.63575955741186 3992.0087013392535 178.4720736241045 -967.3982841528474 128.74513089098863 162.55037012802032 104.15629549207924 -92.13666675128077 86.63712484734866 -160.58992816732226 70.15201844751431 19_B.fits
2460230.8654919844 -134.03759744572122 142.13740045693385 14.688462210825774 -207.3590436834169 inf -1433.407117290687 inf -45.8259084772287 inf 15631.060735790586 inf 549.81493571494 323.74969642220265 -294.9669540140588 152.58063938792648 -191.6012546665476 249.49959552866025 -232.8181761339119 165.4181388993945 -255.62076683745389 194.4100498315078 -1229.9239580033698 inf 200.11997021417483 165.92461191717518 4927.674793087758 inf -830.1813030282156 206.4731282975658 -227.74211573082948 inf -17.047230814696864 138.53181248158086 -249.8999137151666 inf 1_A.fits
2460230.8654919844 213.97067545233142 381.9972392997893 14.688462210825774 -12.382679181831259 inf -509.1615976737868 367.0765658605427 377.34757342536466 271.37849513931076 14592.248294841784 inf -233.19614201349643 185.9536762824904 190.6697138421748 155.86094119999086 -29.396230382640326 150.0629510186424 -218.43301604732014 117.85221437655196 83.98543251030911 124.7039359014483 -428.81090537095076 129.95644113423972 92.72918339160977 173.20556330908076 4662.345937864825 262.4694047573277 -903.8000917854671 176.55772866384893 -55.43102480329069 103.29232178566718 57.21849477262398 inf -247.23005207702258 80.21646680077798 1_B.fits
2460600.7553277197 -240.40500044437724 326.8874898784834 14.486086253263817 -204.51474923076736 inf -568.174651719203 203.30513191184286 -173.184960252781 inf 14923.868624793535 inf -526.289510551504 226.0612627541424 -356.03407897013676 128.6779678821175 -803.1459856319715 180.22746545344074 -721.3513643956272 154.01297923380986 -393.8816222799179 128.22805972134228 -785.8129074394835 123.30639772204913 -459.1427225860127 168.57551374555334 3576.249467191427 276.78757222684396 -1196.3177681111033 154.17493497841537 -204.29853036408414 109.8311784873048 -190.46154238233288 108.51944737016267 -496.603788536954 95.90644669835821 20_A.fits
2460600.7553277197 -296.35482591688327 315.4309523956975 14.486086253263817 -216.21564707574922 inf -909.6471659160968 301.7357755910388 -328.674782042387 270.27722008328396 14404.472142627885 inf -522.6122510874778 194.8391322686252 -456.9916457827594 206.79437030450433 -523.0099783082654 144.82162112411748 -537.1335181478211 115.78959394227641 -623.4085930946866 121.09874979141969 -828.6063571060943 141.94724865211103 -556.9861402735396 163.74467551357787 3716.454317292791 203.45877449115955 -1252.8252305086162 124.12409664303732 -385.77306074439065 113.4225569397486 -447.42031004024653 89.08215299174063 -492.33284707677547 81.33556092393914 20_B.fits
2460300.7878599875 -88.13292203067441 134.0835033107403 0.8052702566758729 79.87922026138021 inf 289.7477162648052 inf 480.02701384647276 230.32599019311874 1398.6832215590557 inf -523.2709152927231 223.28285280381053 -83.10683675866368 105.93155696425701 -99.94632736225753 174.739034306501 -319.2116961808005 137.9763882905071 88.11467257950629 150.42921851414692 -133.45222653867322 inf 240.32355031727522 195.51033838499953 3559.8351032817627 inf -792.9588755759411 132.70763146712542 216.83311615106186 149.80659080046877 112.14367347230107 inf -155.94254662051875 inf 2_A.fits
2460300.7878599875 -18.898292581523194 333.75025980423834 0.8052702566758729 -203.55748804255398 inf -1079.2704777234048 597.3272021517793 78.05281546371006 272.95689425137334 2363.0360173655936 inf 96.21332015131189 220.94527565873665 -1159.4208078621716 591.9032655601004 -365.6809155726524 175.78359559946333 -160.7161939361288 418.67596234994244 44.734009464734704 157.23668316100944 -309.16301583285485 147.64138078566683 323.96311168756876 284.0591850702443 3262.195599767027 282.5013195930843 -1079.1120668825577 195.9810687346153 121.4251102971395 192.0412952569923 31.69489446815009 inf -130.3657147122709 inf 2_B.fits
2460388.623495185 136.06208233173285 288.31745707921453 -15.513608698560697 -46.31803584492102 inf 78.0897856421467 129.1930029029711 -129.80091790393507 133.79799316906505 8031.0523736694995 inf 187.56753040838413 195.56533630084672 -444.45801595681127 144.94376051026146 -369.9623232476433 171.77456181251173 134.36207566898122 130.14973384098852 -127.36623570691575 133.0550764417719 -344.107433755749 123.84399237927612 23.54758202848365 145.95998073769445 3682.5012135189268 158.47075397780205 -1096.8099037851293 124.27141284393248 276.9250138640127 89.64150759998998 43.819049212983856 106.71404628006013 -9.438267343475005 97.37729185023316 3_A.fits
2460388.623495185 141.75929547741137 300.18336901645165 -15.513608698560697 196.66192811844638 inf -429.20708079362134 129.29644373804047 -9.55992495829719 199.0387302222166 11402.134919007007 inf 228.19777068005766 218.98854988297464 20.700330707229583 136.8139552220955 -333.25925308666154 165.73800127760654 -104.6369976559581 133.87749695250122 102.73191491172261 121.36498889772089 -340.10093393922534 115.61885195277247 371.1066636236552 153.03153610992516 3794.630328450283 157.70833158387444 -1258.1101625587473 127.69618105386333 44.393368973847004 88.82945429146032 135.07658873263864 98.57137719127817 -237.3324764031636 104.93441506044313 3_B.fits
2460285.8032772676 -96.22408628659761 316.63970949080203 4.824259795081666 -350.6798147809974 inf 279.5182089440532 405.83438400922864 -71.15162550110779 194.57794974663443 6181.310662264253 inf -460.69329895750974 154.31956601019198 33.994846587722435 116.71086014919975 -637.6046765976419 139.16568954487934 -597.3219398382545 116.6239461145093 -559.325702748722 117.91063749426631 -901.0687924406028 145.36508474827662 68.35540272457388 166.27591001665675 3745.4192125318245 244.02337597624012 -1356.2105239300447 189.3055980662859 -165.75640061694796 146.7185419434196 -240.70089505196287 91.31837437811902 -484.5910231177459 91.3549354032523 4_A.fits
2460285.8032772676 -22.789935143948888 331.42182920179295 4.824259795081666 -169.05296438291614 inf 791.3472169663044 557.9221046569963 -35.27493897206789 191.7272547533962 6346.215362181684 inf -163.42688684343725 164.09935338566817 -392.7892560577073 124.11338930220184 -496.2330504648744 117.84192535753064 -725.9602932540594 100.10174451568537 -275.903150302484 106.04199519533086 -901.0687924406028 145.36508474827662 -179.70889501009083 163.8066533746692 3667.812390568117 237.34224988817004 -985.5563786664768 157.2365313236067 -165.75640061694796 146.7185419434196 -205.49124470465253 inf -433.7507217770083 80.19272070550244 4_B.fits
2460318.7677982375 276.3131611592793 416.2050787332084 -4.071127056816547 463.3281170636944 inf -448.0339328460883 inf -204.1258773014269 185.35275132493734 -1604.8042324477697 inf 350.21240826215444 259.36540877927786 -55.00140286459725 174.4819541617537 -13.8832052008679 190.48110880882467 -91.44910063951255 167.7106991530764 -43.04971275440898 inf -440.7222257324598 145.47464533700318 192.01996101604306 172.63599314434626 3864.694808809463 159.91715981683754 -993.4943662897122 130.54714083884463 56.249051407014846 inf 154.88061153370936 110.19180560337661 -162.30029233119117 inf 5_A.fits
2460318.7677982375 247.76040528390556 296.63887412423327 -4.071127056816547 -32.40552571743529 inf 164.86773805109905 213.21322887316762 -728.8340923962131 189.2207589906775 -2483.703317165477 inf 75.20234191900869 223.930556790909 247.5912723046719 193.05139419943373 -90.10138817785717 198.4148267233628 205.14435442887034 164.39987895778464 169.90245632069292 165.59307711209664 72.81088895555503 183.3035791188841 66.9562832051909 175.42095802290584 3591.844648886507 202.8012954036435 -885.563483610565 131.30288336587262 353.4219404770458 115.52377195832227 -36.12278865241813 inf -22.357691673233933 107.28953230588341 5_B.fits
2460674.738997031 279.2990861780219 315.17954446255175 -1.4913918239060848 209.40848670960034 inf -353.04809447641946 350.76130452682025 250.4357528315359 159.8500335562706 -615.7161419868698 inf 105.07810265627079 165.358846798362 -168.92084407886844 114.01429634811598 -27.094873083703778 140.5473926049689 97.91030400600613 121.42054903407399 166.93802191995297 125.69291539432717 -266.9060580491757 126.34713233987239 537.9013809995452 153.51483327416196 3946.368021001866 252.08171739190115 -551.3581971865215 144.39079223379534 170.67008014293228 inf -24.280456605559646 94.56975496579103 -82.13493962064334 79.95618664195763 6_A.fits
2460674.738997031 473.485622805515 299.3499318509348 -1.4913918239060848 204.2096110014168 inf -9.656585184375073 267.25011377168084 324.2877677132309 170.24827849362973 -12403.894827545084 inf 221.44211326244746 159.0287988560116 1313.6641137418671 1156.5857691168196 141.73575791176114 117.99595175938914 221.32215181822178 98.00991039348561 283.8974425594019 100.04413364464787 -258.4671272126804 118.5792783093179 629.9567294547151 134.57171400125918 4047.115264175277 175.92126874498356 -662.482875243585 114.1908135086482 291.39480786313436 110.06602101845138 197.0353414634357 78.4111968227518 -112.44618304564233 69.80829838061527 6_B.fits
2460370.53298493 213.73607581426677 350.10048050780847 -14.103604204517469 -135.54070751535602 inf 438.69620186752235 inf 281.6149244788262 260.919201048439 -13707.791123139692 inf -230.10616806563752 210.43632047801037 286.8612224155905 238.89207856600262 -434.6019451950032 255.3456280046103 -557.5347433616746 608.9733857744106 10.131873612517241 190.32115438725052 -178.24991792019713 inf -172.97149855181829 177.06908436230745 3901.326639799205 302.7096686377457 -714.5142729428123 156.4039376460313 127.99339572066424 138.0861376819325 375.1571468593656 186.08454220597596 -308.52366499802133 186.31922638546212 7_A.fits
2460370.53298493 353.16755922128743 371.0159459453113 -14.103604204517469 129.3094289278345 inf -1333.1187785710583 inf -120.87380844219769 214.54335108071731 -11601.976276577303 inf 725.9206343906446 270.8788406288032 -17.642604035276353 191.62882263162447 50.22227705575129 194.3914966128156 -101.04435171371554 156.19989948489223 86.95726458491735 142.89562225982903 -121.25635614723676 173.1742055551292 333.555386520684 195.88316533835632 4624.377661509764 240.8819961286193 -984.2557762367724 145.059044290856 111.63936859976886 109.05673479227877 145.07307341046558 119.14030867528963 -141.4944996200598 106.17035395185736 7_B.fits
2460312.5582083766 383.63275902502204 392.9305617407629 -1.9686958860366783 -94.24314614248655 inf 123.24712229414823 270.1090187225893 -88.15190372364779 235.30873940329738 2117.888945181494 inf 27.56784216835728 inf -23.813999587618216 211.5856732193798 6.4593068021196505 196.70860206216128 8.857264171839336 143.57873584165563 57.24856020974417 153.51242025760027 -177.65487893359565 inf 125.27251555691318 inf 3521.6463319117315 275.6742416958849 -850.1296483341056 inf -90.06957663010624 121.81396668338016 -62.72827422301219 119.40393032778228 -204.2907634986649 inf 8_A.fits
2460312.5582083766 274.3333142000525 412.63812293370574 -1.9686958860366783 106.31828662403441 inf -405.1834053718997 inf -291.48437463313985 408.74726040505107 -749.5031013068308 inf 443.56058033889786 286.6363991023651 593.5162902199294 173.43012759770392 0.28186760359084906 inf 99.0760298439256 139.31502848833082 -170.16288504197698 131.2349886590884 -348.50697013700176 174.1963732054537 74.69330219096965 212.03598023222423 4155.337981285655 188.2172161139864 -1180.6261663271212 116.48788193847614 -50.236570700874395 108.89174471033695 201.4719832999243 inf -307.5007608386855 99.97618865635246 8_B.fits
2460320.676643619 197.52553530445817 341.5941886206368 -4.407852186337524 660.177446223974 inf -1134.1994996288613 260.1723954503115 455.8369343123891 397.55517986983403 -1828.3975831710325 inf 434.71567620429465 185.47628370843282 57.42243023682228 148.75589531063508 -554.9699239369081 186.2455162853139 46.98601785429573 132.63047257333486 130.21123755125168 147.69701411885376 -124.90716673513897 168.48602328736618 -102.61624215753956 193.09750040070148 4343.528085576031 211.52831751589397 -868.4587337250831 118.67192339420028 65.09836427898681 106.20373753492377 251.86778058623455 107.91774811283982 -235.15746615436004 103.90569391623913 9_A.fits
